Identifiant de l'accident;Date et heure;Commune;Année;Mois;Jour;Heure minute;Lumière;Localisation;Intersection;Conditions atmosphériques;Collision;Département;Code commune;Code Insee;Adresse;Latitude;Longitude;Code Postal;Numéro;Coordonnées;PR;Surface;V1;Circulation;Voie réservée;Env1;Voie;Largeur de la chaussée;V2;Largeur terre plein central;Nombre de voies;Catégorie route;PR1;Plan;Profil;Infrastructure;Situation;Année de naissance;Sexe;Action piéton;Gravité;Existence équipement de sécurité;Utilisation équipement de sécurité;Localisation du piéton;Identifiant véhicule;Place;Catégorie d'usager;Piéton seul ou non;Motif trajet;Point de choc;Manœuvre;Sens;Obstacle mobile heurté;Obstacle fixe heurté;Catégorie véhicule;Nombre d'occupants;Gps
201500024989;2015-08-24T07:45:00+02:00;Rennes;15;08;24;07:45;Plein jour;En agglomération;Intersection en X;Pluie forte;Autre collision;35;238;35238;ECHANGE (D');4811525;-168445;35000;;48.115248, -1.684455;;mouillée;;A sens unique;;00;0;0;;0;0;Voie Communale;;Partie rectiligne;Plat;;;1967;Masculin;Se déplaçant;Blessé;Ceinture;Oui;;A01;1;Conducteur;;;;;;;Véhicule en stationnement;VL seul;;Métropole
201500025023;2015-09-23T15:50:00+02:00;Rennes;15;09;23;15:50;Plein jour;En agglomération;Hors intersection;Normale;Autre collision;35;238;35238;00, BOSPHORE (DU);4808233;-167691;35000;00;48.082893, -1.678413;;normale;;;;99;;0;;0;0;Parc de stationnement ouvert à la circulation publique;;Partie rectiligne;Plat;;Sur chaussée;1937,1932,1936;Féminin,Masculin,Féminin;Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Blessé,Blessé;Ceinture,Ceinture,Ceinture;Oui,Oui,Oui;;A01;2,3,1;Passager,Passager,Conducteur;;Courses – achats,Courses – achats,Courses – achats;Avant;Sans changement de direction;;;Autre obstacle fixe sur trottoir ou accotement;VL seul;;Métropole
201500025030;2015-10-02T00:10:00+02:00;Rennes;15;10;02;00:10;Nuit avec éclairage public non allumé;En agglomération;Intersection en T;Normale;Sans collision;35;238;35238;00, MARBEUF (BLD);4811011;-170525;35000;00;48.111089, -1.704074;;normale;;Bidirectionnelle;;99;0;0;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1991;Masculin;Se déplaçant;Blessé;Casque;Oui;;A01;1;Conducteur;;;Côté gauche;Sans changement de direction;;;Sortie de chaussée sans obstacle;Motocyclette > 125 cm3;;Métropole
201500025046;2015-10-15T07:50:00+02:00;Rennes;15;10;15;07:50;Nuit avec éclairage public non allumé;En agglomération;Intersection en X;Normale;Deux véhicules – par le coté;35;238;35238;00, BRIAND (AVENUE ARIST;4811008;-165983;35000;00;48.11034, -1.662746;;normale;;A chaussées séparées;Voie réservée;99;0;0;;0;0;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1992,1991;Masculin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Utilisation professionnelle;Avant droit,Côté gauche;Sans changement de direction,Tournant A gauche;;Véhicule,Véhicule;;VU seul 1,VL seul;;Métropole
201500025060;2015-10-25T13:10:00+01:00;Rennes;15;10;25;13:10;Plein jour;Hors agglomération;Hors intersection;Normale;Trois véhicules et plus – en chaîne;35;238;35238;RN136;4814144;-164174;35000;136;48.111214, -1.696433;22;normale;;A chaussées séparées;;99;136;0;;0;0;Route Nationale;600;Partie rectiligne;Plat;;Sur chaussée;1955,1979,2012,1958;Féminin,Féminin,Masculin,Féminin;Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant;Indemne,Indemne,Blessé,Indemne;Ceinture,Ceinture,Dispositif enfants,Ceinture;Oui,Oui,Oui,Oui;;C01,B01,A01;1,1,2,1;Conducteur,Conducteur,Passager,Conducteur;;Promenade – loisirs,Promenade – loisirs,Promenade – loisirs,Autre;Arrière,Arrière,Avant;Même sens,Même sens,Même sens;;Véhicule,Véhicule,Véhicule;;VL seul,VL seul,VL seul;;Métropole
201500025093;2015-11-04T15:35:00+01:00;Rennes;15;11;04;15:35;Plein jour;Hors agglomération;Hors intersection;Normale;Deux véhicules – par l’arrière;35;238;35238;00, FREVILLE (AVENUE HEN;4808652;-167506;35000;00;48.109755, -1.648118;;normale;;A sens unique;Banque cyclable;00;0;0;;0;0;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1981;Masculin;Se déplaçant;Blessé;Autre;Non déterminable;;B01,A01;1;Conducteur;;Promenade – loisirs;;Sans changement de direction;PK ou PR ou numéro d’adresse postale croissant;Autre,Véhicule;;VL seul,Autre véhicule;;Métropole
201500025098;2015-11-12T17:40:00+01:00;Rennes;15;11;12;17:40;Nuit avec éclairage public allumé;En agglomération;Intersection en X;Normale;Deux véhicules – par le coté;35;238;35238;00, CHATEAUDUN (DE);4811027;-166562;35000;00;48.111442, -1.666081;;normale;;A sens unique;Banque cyclable;99;0;0;;0;0;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1976,1957;Masculin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Casque;Oui,Non déterminable;;B01,A01;1,1;Conducteur,Conducteur;;Utilisation professionnelle;Avant,Avant gauche;Tournant A droite;;Véhicule,Véhicule;;Bicyclette,PL seul > 7;;Métropole
201500025136;2015-12-05T15:45:00+01:00;Rennes;15;12;05;15:45;Plein jour;En agglomération;Intersection en X;Temps couvert;Autre collision;35;238;35238;26, NEMOURS ( DE);4810753;-168028;35000;26;48.107744, -1.680244;;normale;;Bidirectionnelle;;99;0;0;;0;4;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1994;Masculin;Autre;Blessé;;;;A01;;Piéton;Seul;;Avant;;PK ou PR ou numéro d’adresse postale croissant;Piéton;;VL seul;;Métropole
201500024729;2015-01-08T14:30:00+01:00;Rennes;15;01;08;14:30;Plein jour;En agglomération;Intersection à plus de 4 branches;Normale;Deux véhicules – par le coté;35;238;35238;CARREFOUR NITSCH;4810180;-168441;35000;;48.10189, -1.683568;;mouillée;;Bidirectionnelle;Banque cyclable;99;;0;;0;2;Voie Communale;;Partie rectiligne;Plat;Carrefour aménagé;Sur chaussée;1993,1973;Féminin,Féminin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Casque;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Promenade – loisirs,Promenade – loisirs;Avant,Avant;Tournant A gauche,Sans changement de direction;;Véhicule,Véhicule;;VL seul,Scooter < 50 cm3;;Métropole
201500024730;2015-02-20T23:00:00+01:00;Rennes;15;02;20;23:00;Nuit avec éclairage public allumé;En agglomération;Hors intersection;Normale;Autre collision;35;238;35238;301, FOUGERES (ROUTE DE);4812975;-164263;35000;301;48.129781, -1.642645;;mouillée;;Bidirectionnelle;;99;0;0;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1985;Masculin;Se déplaçant;Blessé;Ceinture;Non déterminable;;A01;1;Conducteur;;Promenade – loisirs;Avant;Sans changement de direction;;;Ilot;VL seul;;Métropole
