Produit;Type of Food (100g);Energy (Kcal);Protein (g);Fat (g);Water (g);Vitamin A (mg);Vitamin B1 (mg);Vitamin B2 (mg);Vitamin C;
P301;Pancakes;300;6;16;43;40;0,1;0,2;0;
P302;Parsley;20;5;0;79;1500;0,15;0,3;150;
P303;Parsnips, boiled;60;1,3;0;83;0;0,07;0,06;10;
P304;Parsnips, raw;50;2;0;83;0;0,1;0,08;15;
P305;Pastry, flaky, cooked;560;6;40;7;200;0,1;0;0;
P306;Pastry, shortcrust, cooked;530;7;32;7;150;0,2;0;0;
P307;Peaches, canned in syrup;90;0,5;0;74;40;0;0;0;
P308;Peaches, fresh;30;0,5;0;75;70;0;0,04;10;
P309;Peanut butter;620;23;54;1;0;0,2;0,1;0;
P310;Peanuts, fresh;570;24;50;4;0;1;0,1;0;
P311;Peanuts, roasted and salted;570;24;50;4;0;0,2;0,1;0;
P312;Pears;30;0,2;0;60;0;0;0;0;
P313;Peas, boiled;50;5;0,4;80;50;0,3;0,15;25;
P314;Peas, canned;50;5;0,3;82;50;0,1;0,1;8;
P315;Peas, chickpeas, cooked;140;8;3,3;66;90;0,1;0,05;3;
P316;Peas, chickpeas, raw;320;20;6;10;30;0,5;0,15;3;
P317;Peas, dried, boiled;100;7;0,4;70;50;0,6;0,3;0;
P318;Peas, dried, raw;290;22;1,3;13;50;0,6;0,3;0;
P319;Peas, fresh or frozen;70;6;0,4;78;50;0,3;0,2;25;
P320;Peas, split, dried, boiled;120;8;0,3;67;0;0,1;0,06;0;
P321;Peas, split, dried, raw;310;22;1;12;30;0,7;0,2;0;
P322;Peppers, green, boiled;15;1;0,4;94;40;0;0;60;
P323;Peppers, green, raw;15;1;0,4;94;40;0;0,03;100;
P324;Pilchards, canned in tomato sauce;130;19;5;70;0;0;0,3;0;
P325;Pineapple, canned in syrup;80;0,3;0;77;0;0,05;0;10;
P326;Pineapple, fresh;50;0,5;0;84;0;0,08;0;25;
P327;Plaice, fried in batter;280;16;18;52;0;0,2;0,15;0;
P328;Plaice, fried in breadcrumbs;230;18;14;60;0;0,2;0,2;0;
P329;Plaice, raw;90;18;2,2;80;0;0,3;0,1;0;
P330;Plaice, steamed;90;19;2;78;0;0,3;0,1;0;
P331;Plantain,  raw;110;1;0,2;67;0;0,05;0,05;20;
P332;Plantain, boiled;120;2;0;64;0;0;0;3;
P333;Plantain, rip;270;1,5;9;35;20;0,1;0;12;
P334;Plums, cooked;20;0,5;0;77;30;0,05;0,03;0;
P335;Plums, dessert;40;0,5;0;84;30;0,05;0,03;0;
P336;Pork pie;380;10;27;37;0;0,2;0,1;0;
P337;Pork chops, raw;330;16;30;54;0;0,6;0,15;0;
P338;Pork chops, grilled;330;29;24;46;0;0,7;0,2;0;
P339;Pork, leg, roast;270;17;23;59;0;0,7;0,2;0;
P340;Pork, leg, raw;290;27;20;52;0;0,7;0,3;0;
P341;Potato chips;250;4;11;47;0;0,1;0,04;10;
P342;Potato crisps;530;6;35;3;0;0,2;0,1;15;
P343;Potatoes, baked with skin;85;2;0;58;0;0,1;0,03;10;
P344;Potatoes, boiled;80;1,4;0;81;0;0,1;0,03;10;
P345;Potatoes, raw;90;2;0;76;0;0,1;0,04;15;
P346;Prawns, boiled;100;23;2;70;0;0;0;0;
P347;Prunes, raw;130;2;0;20;130;0,08;0,2;0;
P348;Prunes, stewed;75;1;0;50;80;0,04;0,08;0;
P349;Puffed wheat;325;14;1,3;2,5;0;0;0,06;0;
P350;Pumpkin, raw;15;0,6;0;95;300;0,04;0,04;5;
P351;Quiche Lorraine;400;15;28;35;150;0,1;0,2;0;
P352;Rabbit, stewed;90;14;4;33;0;0,05;0,1;0;
P353;Radishes;15;1;0;93;0;0,04;0;25;
P354;Raisins;250;1;0;21;0;0,1;0,08;0;
P355;Raspberries;25;1;0;83;15;0;0,03;25;
P356;Ready Brek;390;12;9;6;0;1,5;0,1;0;
P357;Red currants;20;1;0;83;15;0,04;0,06;40;
P358;Rhubarb, raw;5;0,5;0;94;0;0;0,03;10;
P359;Rhubarb, stewed;45;0,5;0;86;0;0;0,03;5;
P360;Rice Krispies;350;6;0,7;4;0;1;1,5;0;
P361;Rice pudding, canned;90;3,5;2,5;77;30;0,03;0,15;0;
P362;Rice, white, boiled;120;2;0,3;70;0;0;0;0;
P363;Rice, white,raw;360;6,5;1;12;0;0,1;0,03;0;
P364;Roe, cod;200;21;12;62;150;1,3;1;0;
P365;Roe, herring, soft, fried;240;21;16;52;0;0,2;0,5;0;
P366;Sago, raw;360;0,2;0,2;12;0;0;0;0;
P367;Salad cream;300;2;27;52;0;0;0;0;
P368;Salami;500;19;45;28;0;0,2;0,2;0;
P369;Salmon, canned;150;20;8;70;100;0,04;0,2;0;
P370;Salmon, raw;180;18;12;68;0;0,2;0,15;0;
P371;Salmon, smoked;140;25;5;65;0;0,2;0,2;0;
P372;Salmon, steamed;200;20;13;65;0;0,2;0,1;0;
P373;Sardines, canned in oil;220;24;14;58;0;0,04;0,4;0;
P374;Sardines, canned in tomato sauce;180;18;12;65;0;0;0,3;0;
P375;Satsumas, peeled;35;1;0;87;15;0,07;0;30;
P376;Sauce, brown;100;1;0;64;0;0;0;0;
P377;Sausage roll (flaky pastry);500;7;36;23;120;0,1;0,04;0;
P378;Sausage roll (short pastry);460;8;32;22;100;0,1;0,04;0;
P379;Sausage, liver sausage;300;13;27;52;8000;0,2;1,6;0;
P380;Sausages, beef, raw;300;10;24;50;0;0,03;0,1;0;
P381;Sausages, pork, raw;370;11;32;45;0;0,04;0,1;0;
P382;Sausages, beef, fried;270;13;18;48;0;0;0,1;0;
P383;Sausages, pork, fried;320;14;25;45;0;0;0,2;0;
P384;Sausages, pork, grilled;320;13;25;45;0;0;0,2;0;
P385;Sausages, beef, grilled;270;13;17;48;0;0;0,15;0;
P386;Sausages, frankfurters;270;10;25;60;0;0,1;0,1;0;
P387;Sausages, saveloys, boil;260;10;21;57;0;0,1;0,1;0;
P388;Scampi, fried in breadcrumbs;320;12;18;39;0;0,1;0,1;0;
P389;Scones;370;7,5;15;21;150;0;0,1;0;
P390;Semolina, raw;350;11;2;14;0;0,1;0;0;
P391;Sherry, sweet;140;0;0;90;0;0;0;0;
P392;Sherry, dry;115;0;0;90;0;0;0;0;
P393;Shredded Wheat;320;10,5;3;7,5;0;0,3;0,05;0;
P394;Shrimps, boiled;120;24;2,5;63;0;0,03;0,03;0;
P395;Skate, fried in batter;200;18;12;62;0;0,03;0,1;0;
P396;Soup, chicken, canned;60;2;4;87;0;0;0;0;
P397;Soup, mushroom, canned;50;1;4;89;0;0;0;0;
P398;Soup, oxtail, canned;45;2;2;88;0;0;0;0;
P399;Soup, tomato, canned;60;1;3;84;60;0;0;0;
P400;Soup, vegetable, canned;40;2;1;85;0;0;0;0;
P401;Soya flour, full fat;450;37;23,5;7;0;0,8;0,3;0;
P402;Soya flour, low fat;350;45;7;7;0;0,9;0,4;0;
P403;Spaghetti, boiled;120;4;0,3;72;0;0;0;0;
P404;Spaghetti, canned in tomato sauce;60;1,7;0,7;83;0;0;0;0;
P405;Spaghetti, raw;380;14;1;10;0;0,15;0,06;0;
P406;Special K breakfast cereal;360;19;1;2,7;0;1,2;1,7;0;
P407;Spinach, boiled;30;5;0,5;85;1000;0,1;0,15;25;
P408;Spirits (gin, vodka, whisky, etc);220;0;0;100;0;0;0;0;
P409;Sponge pudding;340;6;16;28;200;0;0,1;0;
P410;Sprats, fried;440;25;38;34;0;0;0;0;
P411;Spring greens, boiled;10;1,7;0;94;1000;0,1;0,2;30;
P412;Steak, stewed, canned;180;15;13;70;0;0;0,1;0;
P413;Strawberries, fresh;25;0,5;0;88;5;0;0,03;60;
P414;Suet pudding;300;4;18;36;20;0;0,06;0;
P415;Suet, shredded;830;0;87;1;50;0;0;0;
P416;Sugar;390;0;0;0;0;0;0;0;
P417;Sugar Puffs breakfast cereal;350;6;0,8;2;0;0;0,03;0;
P418;Sultanas;250;2;0;18;0;0,1;0,08;0;
P419;Swedes, raw;20;1;0;91;0;0,1;0,04;25;
P420;Swedes, boiled;20;1;0;92;0;0,04;0,03;20;
P421;Sweet potato, raw;90;1;0,6;70;700;0,1;0,06;25;
P422;Sweet potato, boiled;85;1;0,6;72;700;0,1;0,05;15;
P423;Sweetbread, fried with egg;230;19;15;60;0;0,03;0,25;18;
